Iteration,C,Gamma,Epsilon,Avg_Score,Scores,Avg_Support_Vectors,Support_Vectors
1,50,10,0.1,0.031304808318179674,"[0.025861144301887053, 0.027953515374851787, 0.015431352275926631, 0.03857309946025223, 0.04870493017798066]",49.2,"[51, 48, 50, 48, 49]"
2,50,5,0.1,0.030970972445192597,"[0.025846339179145448, 0.0275927346669919, 0.015571304796479113, 0.03765711728644046, 0.048187366296906065]",48.0,"[48, 47, 49, 48, 48]"
3,50,4,0.1,0.0307104532876628,"[0.025764360088343333, 0.027232445401362215, 0.015680556025203754, 0.037068352479821945, 0.04780655244358275]",47.4,"[47, 45, 50, 48, 47]"
4,50,3,0.1,0.03035164657566549,"[0.02567248851976348, 0.026470341878288183, 0.015990914593392767, 0.036226273102297535, 0.04739821478458549]",48.2,"[50, 45, 51, 47, 48]"
5,50,2,0.1,0.030055153410217833,"[0.025819117948026507, 0.024938873492187263, 0.016683479070672833, 0.03540772573234331, 0.04742657080785925]",49.0,"[50, 46, 52, 48, 49]"
6,50,1,0.1,0.030382888113263822,"[0.026713111098131324, 0.023205514736888425, 0.01786420718373673, 0.035669390793480485, 0.048462216754082146]",49.4,"[51, 48, 50, 50, 48]"
7,40,10,0.1,0.031304808318179674,"[0.025861144301887053, 0.027953515374851787, 0.015431352275926631, 0.03857309946025223, 0.04870493017798066]",49.2,"[51, 48, 50, 48, 49]"
8,40,5,0.1,0.03097097244519259,"[0.025846339179145396, 0.0275927346669919, 0.015571304796479113, 0.03765711728644046, 0.048187366296906065]",48.0,"[48, 47, 49, 48, 48]"
9,40,4,0.1,0.0307104532876628,"[0.025764360088343322, 0.027232445401362212, 0.015680556025203754, 0.037068352479821945, 0.04780655244358277]",47.4,"[47, 45, 50, 48, 47]"
10,40,3,0.1,0.03035164657566549,"[0.025672488519763483, 0.026470341878288197, 0.015990914593392767, 0.03622627310229755, 0.04739821478458545]",48.2,"[50, 45, 51, 47, 48]"
11,40,2,0.1,0.030055153410217795,"[0.025819117948026507, 0.024938873492187184, 0.016683479070672833, 0.03540772573234331, 0.047426570807859135]",49.0,"[50, 46, 52, 48, 49]"
12,40,1,0.1,0.030382888113263763,"[0.026713111098131074, 0.023205514736888522, 0.01786420718373673, 0.035669390793480485, 0.04846221675408201]",49.4,"[51, 48, 50, 50, 48]"
13,30,10,0.1,0.031304808318179674,"[0.02586114430188705, 0.027953515374851797, 0.015431352275926631, 0.03857309946025224, 0.04870493017798066]",49.2,"[51, 48, 50, 48, 49]"
14,30,5,0.1,0.0309709724451926,"[0.025846339179145496, 0.02759273466699188, 0.015571304796479113, 0.037657117286440465, 0.04818736629690608]",48.0,"[48, 47, 49, 48, 48]"
15,30,4,0.1,0.030710453287662802,"[0.025764360088343315, 0.027232445401362246, 0.015680556025203754, 0.03706835247982195, 0.047806552443582756]",47.4,"[47, 45, 50, 48, 47]"
16,30,3,0.1,0.030351646575665497,"[0.0256724885197635, 0.026470341878288183, 0.015990914593392767, 0.03622627310229756, 0.04739821478458547]",48.2,"[50, 45, 51, 47, 48]"
17,30,2,0.1,0.030055153410217795,"[0.025819117948026493, 0.024938873492187152, 0.016683479070672833, 0.0354077257323433, 0.047426570807859204]",49.0,"[50, 46, 52, 48, 49]"
18,30,1,0.1,0.03038288811326383,"[0.02671311109813128, 0.02320551473688862, 0.01786420718373673, 0.03566939079348056, 0.048462216754081966]",49.4,"[51, 48, 50, 50, 48]"
19,20,10,0.1,0.031304808318179674,"[0.02586114430188705, 0.027953515374851797, 0.015431352275926631, 0.03857309946025224, 0.04870493017798066]",49.2,"[51, 48, 50, 48, 49]"
20,20,5,0.1,0.0309709724451926,"[0.025846339179145496, 0.02759273466699188, 0.015571304796479113, 0.037657117286440465, 0.04818736629690608]",48.0,"[48, 47, 49, 48, 48]"
21,20,4,0.1,0.03071045328766279,"[0.025764360088343288, 0.027232445401362236, 0.015680556025203754, 0.03706835247982195, 0.047806552443582735]",47.4,"[47, 45, 50, 48, 47]"
22,20,3,0.1,0.030351646575665504,"[0.025672488519763472, 0.026470341878288183, 0.015990914593392767, 0.03622627310229756, 0.047398214784585516]",48.2,"[50, 45, 51, 47, 48]"
23,20,2,0.1,0.0300551534102178,"[0.02581911794802647, 0.024938873492187177, 0.016683479070672833, 0.03540772573234331, 0.047426570807859204]",49.0,"[50, 46, 52, 48, 49]"
24,20,1,0.1,0.03038288811326384,"[0.026713111098131345, 0.023205514736888613, 0.01786420718373673, 0.03566939079348051, 0.04846221675408198]",49.4,"[51, 48, 50, 50, 48]"
25,10,10,0.1,0.031304808318179674,"[0.02586114430188702, 0.027953515374851804, 0.015431352275926631, 0.03857309946025224, 0.04870493017798066]",49.2,"[51, 48, 50, 48, 49]"
26,10,5,0.1,0.0309709724451926,"[0.02584633917914547, 0.02759273466699189, 0.015571304796479113, 0.037657117286440465, 0.04818736629690608]",48.0,"[48, 47, 49, 48, 48]"
27,10,4,0.1,0.030710453287662788,"[0.025764360088343295, 0.027232445401362215, 0.015680556025203754, 0.03706835247982195, 0.047806552443582735]",47.4,"[47, 45, 50, 48, 47]"
28,10,3,0.1,0.03035164657566549,"[0.025672488519763483, 0.026470341878288183, 0.015990914593392767, 0.036226273102297556, 0.04739821478458549]",48.2,"[50, 45, 51, 47, 48]"
29,10,2,0.1,0.030055153410217788,"[0.025819117948026483, 0.024938873492187083, 0.016683479070672833, 0.03540772573234331, 0.047426570807859246]",49.0,"[50, 46, 52, 48, 49]"
30,10,1,0.1,0.03038288811326384,"[0.026713111098131324, 0.023205514736888578, 0.01786420718373673, 0.03566939079348053, 0.048462216754082035]",49.4,"[51, 48, 50, 50, 48]"
31,5,10,0.1,0.031304808318179674,"[0.02586114430188704, 0.027953515374851804, 0.015431352275926631, 0.03857309946025224, 0.04870493017798066]",49.2,"[51, 48, 50, 48, 49]"
32,5,5,0.1,0.03097097244519261,"[0.025846339179145483, 0.0275927346669919, 0.015571304796479113, 0.037657117286440465, 0.04818736629690608]",48.0,"[48, 47, 49, 48, 48]"
33,5,4,0.1,0.03071045328766279,"[0.025764360088343305, 0.02723244540136222, 0.015680556025203754, 0.03706835247982195, 0.047806552443582735]",47.4,"[47, 45, 50, 48, 47]"
34,5,3,0.1,0.03035164657566549,"[0.02567248851976348, 0.026470341878288183, 0.015990914593392767, 0.03622627310229755, 0.047398214784585495]",48.2,"[50, 45, 51, 47, 48]"
35,5,2,0.1,0.030055153410217784,"[0.025819117948026472, 0.024938873492187087, 0.016683479070672833, 0.03540772573234331, 0.04742657080785921]",49.0,"[50, 46, 52, 48, 49]"
36,5,1,0.1,0.03038288811326382,"[0.026713111098131417, 0.023205514736888574, 0.01786420718373673, 0.035669390793480485, 0.048462216754081876]",49.4,"[51, 48, 50, 50, 48]"
